# mood_lag1,circumplex.arousal_lag1,circumplex.valence_lag1,activity_lag1,screen_lag1,call_lag1,sms_lag1,pca_var_0_lag1,pca_var_1_lag1,pca_var_2_lag1,pca_var_3_lag1,pca_var_4_lag1
7.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,2.605913978494622807e-01,2.508254999637604669e+03,3.000000000000000000e+00,0.000000000000000000e+00,1.330888047569302671e+03,-1.394476551857111190e+03,4.237671184674647407e+02,6.130154834088598363e+02,-3.649390758537447255e+01
7.000000000000000000e+00,-2.000000000000000111e-01,5.999999999999999778e-01,2.478754578754578830e+00,7.729770000696178613e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.149730921379261417e+03,1.851708280764818483e+03,6.136218292582761933e+02,1.800793383536662759e+03,2.253996799550283185e+02
8.000000000000000000e+00,5.000000000000000000e-01,1.500000000000000000e+00,2.440127753385805232e+00,7.892531001091000689e+03,2.000000000000000000e+00,0.000000000000000000e+00,9.345128510400984396e+02,1.462649939524149659e+03,-1.810319766403251833e+03,1.035751642379957048e+03,-1.777310619618046701e+02
7.000000000000000000e+00,2.500000000000000000e-01,2.500000000000000000e-01,2.381914893617020468e+00,8.167157000541687012e+03,1.000000000000000000e+00,0.000000000000000000e+00,7.406028832446688739e+02,1.863910305290572069e+03,4.312944217517242009e+02,1.246803539723802032e+03,-7.584786875067193535e+01
7.599999999999999645e+00,-2.000000000000000111e-01,8.000000000000000444e-01,2.915003501400560193e+00,6.928638001918792725e+03,0.000000000000000000e+00,1.000000000000000000e+00,1.083898356757182910e+03,1.881575683938494649e+03,-1.996347660020888497e+03,1.005213993096043168e+03,-1.863216232256861531e+02
7.799999999999999822e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.785294117647058698e+00,3.907130999803544455e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.277491253733612439e+03,-5.071816899531854119e+02,-3.719190873267698407e+02,1.749329685010376636e+02,-1.112291462353771578e+02
7.799999999999999822e+00,0.000000000000000000e+00,8.000000000000000444e-01,3.169467787114847557e+00,8.933720999002453027e+03,1.000000000000000000e+00,4.000000000000000000e+00,-6.380017806387201063e+02,-1.301487222547441888e+03,-1.199878335753315696e+03,1.745693588187507203e+03,-1.040171711079013050e+02
7.000000000000000000e+00,-2.000000000000000111e-01,4.000000000000000222e-01,2.890898224043714215e+00,7.504322000503540039e+03,1.000000000000000000e+00,0.000000000000000000e+00,-8.340526319491168579e+02,3.018947283393855514e+02,-1.477606400462722604e+03,1.713100460074558896e+03,-1.253365978190769141e+02
7.750000000000000000e+00,0.000000000000000000e+00,7.500000000000000000e-01,3.839511597842030888e+00,8.370869999647138684e+03,3.000000000000000000e+00,0.000000000000000000e+00,-1.260082731981324855e+02,1.721118671425715320e+03,-7.620942912413740942e+02,-3.457663020058850520e+02,-1.793788702430344983e+02
6.799999999999999822e+00,-5.999999999999999778e-01,4.000000000000000222e-01,2.600840336134453867e+00,9.183504000902175903e+03,4.000000000000000000e+00,0.000000000000000000e+00,5.712897589208723730e+02,2.396051113159102442e+03,-1.289738923519840455e+03,2.014327268757903084e+02,-4.661863162827718554e+01
7.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000222e-01,3.772330165733355223e+00,7.130967000246046155e+03,2.000000000000000000e+00,0.000000000000000000e+00,7.293839372891080757e+02,1.643947475822609931e+03,-4.700364259773589879e+02,2.099949027711804206e+02,-1.516701994671210230e+02
7.000000000000000000e+00,-4.000000000000000222e-01,2.000000000000000111e-01,2.541904761904762999e+00,9.345663000106811523e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.031337037134682078e+02,1.626112601784237995e+03,-1.550926240460805957e+03,3.866736909655633099e+02,-2.103379904220252570e+02
7.000000000000000000e+00,-4.000000000000000222e-01,8.000000000000000444e-01,4.384108527131783006e+00,4.097588000059133265e+03,2.000000000000000000e+00,0.000000000000000000e+00,6.931721496480172391e+02,-7.210687312232105342e+02,-1.804221113635087477e+03,1.078424193702629452e+02,-1.963378635328074893e+02
7.000000000000000000e+00,-1.000000000000000000e+00,4.000000000000000222e-01,4.697916666666663854e-01,5.300544999361039118e+03,1.000000000000000000e+00,0.000000000000000000e+00,4.503630654565045006e+02,-1.123719166868450884e+03,-2.293281385270423925e+03,2.129068975554123142e+02,-2.165140055346708436e+02
6.200000000000000178e+00,-5.999999999999999778e-01,0.000000000000000000e+00,3.314102564102562987e+00,6.208289999485022236e+03,3.000000000000000000e+00,0.000000000000000000e+00,8.306059695396618281e+02,1.134441895748438355e+03,-1.022685210355986783e+03,-3.773823243144869366e+02,-1.907076125982335384e+02
6.599999999999999645e+00,-2.000000000000000111e-01,0.000000000000000000e+00,3.149074074074074581e+00,8.079531998872758777e+03,4.000000000000000000e+00,1.000000000000000000e+00,-1.247596863825782066e+03,1.631756631695394844e+03,3.350358776791504312e+01,4.078759716166567273e+02,6.367027827921145189e+01
7.400000000000000355e+00,4.000000000000000222e-01,8.000000000000000444e-01,1.752631578947368318e+00,9.689766999959947498e+03,1.000000000000000000e+00,0.000000000000000000e+00,-4.952286859750172425e+02,2.609559731309220297e+03,-1.970190402963030010e+03,1.461028580492730725e+03,2.463842591352255056e+02
