# mood_lag1,circumplex.arousal_lag1,circumplex.valence_lag1,activity_lag1,screen_lag1,call_lag1,sms_lag1,pca_var_0_lag1,pca_var_1_lag1,pca_var_2_lag1,pca_var_3_lag1,pca_var_4_lag1
7.000000000000000000e+00,-2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.252236999988555908e+03,1.000000000000000000e+00,0.000000000000000000e+00,1.345904608676686621e+03,-2.196571841498220238e+03,3.325830280118752853e+02,-2.133903852053663570e+02,-4.521473146507681662e+01
7.799999999999999822e+00,2.000000000000000111e-01,1.399999999999999911e+00,0.000000000000000000e+00,7.292196001768112183e+03,0.000000000000000000e+00,3.000000000000000000e+00,-4.848351783630511704e+02,2.123086942031019134e+03,6.103115735780440900e+02,-1.222623899485675793e+03,-1.174360613797855848e+02
7.000000000000000000e+00,2.000000000000000111e-01,4.000000000000000222e-01,0.000000000000000000e+00,4.634640998601915271e+03,0.000000000000000000e+00,3.000000000000000000e+00,-6.925999440608036366e+02,6.147175795406735688e+02,7.234358856589420839e+02,-3.266362394860606742e+02,-5.849105761915855339e+01
6.400000000000000355e+00,-1.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00,4.920903999090192883e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.259029865839713466e+03,-1.920102771955117532e+03,6.343761330205345494e+00,-2.397128309758684281e+02,-5.087751315810942998e+01
6.599999999999999645e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,3.146815998792647406e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.656408756451103841e+02,-1.699949450776448430e+03,2.464399956072520581e+02,-4.126597716178412725e+02,-5.914991091395688727e+01
7.000000000000000000e+00,-2.000000000000000111e-01,8.000000000000000444e-01,0.000000000000000000e+00,2.748713998556137540e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.344726098393614393e+02,3.483856354008757535e+03,1.484356642115617888e+03,8.033464569841537468e+02,-3.864242145532228534e+01
7.799999999999999822e+00,-2.000000000000000111e-01,1.199999999999999956e+00,0.000000000000000000e+00,1.516440399909020562e+04,0.000000000000000000e+00,0.000000000000000000e+00,5.093816563672196480e+02,6.707864641732253403e+03,2.327988367916294919e+03,-1.392024733074438700e+03,-5.695254188683641416e+01
6.400000000000000355e+00,8.000000000000000444e-01,2.000000000000000111e-01,4.025243547302371105e+00,8.615404999017715454e+03,0.000000000000000000e+00,0.000000000000000000e+00,8.443445292043141990e+02,4.759744129756674738e+03,1.620753034301860225e+03,-1.366000046980885827e+03,-1.049512826957547844e+02
6.400000000000000355e+00,5.999999999999999778e-01,5.999999999999999778e-01,1.354379395065173908e+00,1.292849999809265501e+04,0.000000000000000000e+00,2.000000000000000000e+00,1.106238479397852188e+03,1.091603114932429162e+04,3.346110442575517936e+03,-2.412728774077249909e+03,-1.309812896104717765e+02
8.400000000000000355e+00,1.399999999999999911e+00,1.600000000000000089e+00,1.221655495042591077e+00,1.232815699982642946e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.274477404064472239e+02,5.951949356758849717e+03,1.812562931085813261e+03,-2.094392118880597309e+01,-8.370111022087800734e+01
7.400000000000000355e+00,1.600000000000000089e+00,1.000000000000000000e+00,2.025764775764775649e+00,6.527276000261304944e+03,0.000000000000000000e+00,2.000000000000000000e+00,9.533754347320314082e+02,2.970662234815808006e+03,1.461917639394285516e+03,-9.737603254576628160e+02,-7.951362501307295361e+01
8.800000000000000711e+00,1.000000000000000000e+00,1.800000000000000044e+00,3.074129857071033811e+00,4.688187000513076782e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.023304606657893942e+03,4.674280760544625650e+02,9.669579649705617612e+02,-1.929943364331622035e+01,-4.897838523534808530e+01
7.599999999999999645e+00,1.199999999999999956e+00,1.800000000000000044e+00,1.182821824381926401e+00,5.026947999477385565e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.237887920095275604e+03,1.508274931053464343e+03,9.632028699763205850e+02,-9.863668411729994432e+02,-7.976981735533736639e+01
8.400000000000000355e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.947516615378882321e+00,9.064927999734878540e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.921004129428318947e+02,4.401274109571636473e+03,1.798150398685334267e+03,-1.164362132836836281e+03,-8.730345438184725992e+01
7.400000000000000355e+00,-1.199999999999999956e+00,1.000000000000000000e+00,1.189035425292956027e+00,8.565003998994823633e+03,0.000000000000000000e+00,1.000000000000000000e+00,1.298835717299948328e+03,4.384236924573780016e+03,1.652119141848217396e+03,-1.203898920561356590e+03,-9.587285554843214186e+01
7.599999999999999645e+00,-1.000000000000000000e+00,1.199999999999999956e+00,5.033756095767982330e+00,1.215035199975967225e+04,0.000000000000000000e+00,0.000000000000000000e+00,-5.432418264300949886e+02,3.098115758983775777e+03,-1.184390393236952605e+03,4.754158908785886410e+02,-1.760983862926870529e+02
7.200000000000000178e+00,-1.800000000000000044e+00,1.000000000000000000e+00,2.960683023872678898e+00,5.617916001319885254e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.119430685856297487e+03,2.381978614329952052e+03,9.087415216992411615e+02,-7.020903961709915393e+02,-1.000818774780338032e+02
6.200000000000000178e+00,-5.999999999999999778e-01,8.000000000000000444e-01,1.548841285526067590e+00,9.519963999509811401e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.314964030005241739e+03,4.324018241818210299e+03,1.902671287371622839e+03,-1.502585478997014889e+03,-7.564800428664253218e+01
7.000000000000000000e+00,-1.199999999999999956e+00,5.999999999999999778e-01,3.506722689075629784e+00,5.456011997938156128e+03,1.000000000000000000e+00,0.000000000000000000e+00,7.864487090772490774e+02,2.257230545871879315e+02,3.803231102348083255e+02,2.851170697481448997e+02,-7.373593160148347181e+01
7.500000000000000000e+00,-1.500000000000000000e+00,1.000000000000000000e+00,5.264980158730158344e+00,7.494296000480650036e+03,3.000000000000000000e+00,3.000000000000000000e+00,-2.106534090577791630e+03,2.263982873863763871e+03,-2.464787240184458824e+03,-4.508750198550520167e+02,-2.917467710288017315e+02
7.400000000000000355e+00,-1.199999999999999956e+00,1.000000000000000000e+00,5.196911230531919834e+00,9.194638997077941895e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.659995068612257683e+02,1.714675627341517247e+04,4.066700969973575866e+03,-4.624233667725882697e+03,-2.398139345298942544e+02
7.599999999999999645e+00,-8.000000000000000444e-01,1.399999999999999911e+00,4.559492178042284571e+00,1.138030199933051881e+04,3.000000000000000000e+00,7.000000000000000000e+00,-2.517656754652736311e+02,9.176739397331437431e+03,3.147261054394358780e+03,-2.896872864639684849e+03,-1.218743434156683918e+02
7.799999999999999822e+00,-5.999999999999999778e-01,1.000000000000000000e+00,2.754391631771804239e+00,8.050796003341671167e+03,0.000000000000000000e+00,3.000000000000000000e+00,3.999348707755411283e+02,4.210345043651525884e+03,1.625596211377135205e+03,-1.246739531661348792e+03,-9.611257015283797500e+01
6.799999999999999822e+00,2.000000000000000111e-01,8.000000000000000444e-01,1.877535266152287274e+00,1.245832699966430482e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.201539332913003136e+03,8.586755516910499864e+03,2.877278145686282187e+03,-2.510603640424479636e+03,-1.222151239564276892e+02
6.250000000000000000e+00,2.500000000000000000e-01,7.500000000000000000e-01,3.843852278428549596e+00,8.325587998628614514e+03,0.000000000000000000e+00,0.000000000000000000e+00,-9.441627001924308615e+01,3.223895695242388683e+03,1.289899884495068363e+03,-1.336598264073244991e+03,-1.029193835392079848e+02
7.400000000000000355e+00,-4.000000000000000222e-01,1.000000000000000000e+00,4.620069851485781420e+00,1.061818199920655024e+04,1.000000000000000000e+00,1.000000000000000000e+00,9.892208431454314450e+02,9.232193803906080575e+03,2.179584798815335489e+03,-2.927664164035707017e+03,-1.718834054484245826e+02
8.199999999999999289e+00,8.000000000000000444e-01,1.399999999999999911e+00,1.865032721734371401e+00,1.038488400220870790e+04,2.000000000000000000e+00,0.000000000000000000e+00,2.667373368326597642e+02,5.032117035674815270e+03,2.074257792484259880e+03,-1.172637883101145235e+03,-8.096023322366070829e+01
7.799999999999999822e+00,-2.000000000000000111e-01,1.199999999999999956e+00,2.853977223598101798e+00,1.423014799690246400e+04,4.000000000000000000e+00,0.000000000000000000e+00,1.463180258411681791e+02,8.261107451734678762e+03,2.736205045044092913e+03,-2.749443329568233821e+03,-1.228009288753566324e+02
7.599999999999999645e+00,5.999999999999999778e-01,1.000000000000000000e+00,3.710536856110250081e+00,8.855479999065397351e+03,1.000000000000000000e+00,0.000000000000000000e+00,1.053354729434300452e+03,5.215953454183794747e+03,2.088500274887373962e+03,-2.213422341946260985e+03,-9.280295803088992557e+01
6.799999999999999822e+00,5.999999999999999778e-01,1.199999999999999956e+00,5.155785391079507285e+00,3.541379999160766602e+03,1.000000000000000000e+00,0.000000000000000000e+00,5.202170950165832437e+02,-6.555204929123908641e+02,5.238647014087376874e+02,-6.955448385865441878e+02,-7.050674944006271971e+01
6.799999999999999822e+00,5.999999999999999778e-01,1.000000000000000000e+00,1.145990338164251332e+00,7.624418000698084143e+03,4.000000000000000000e+00,6.000000000000000000e+00,9.553279852738974114e+02,2.658119905021245813e+03,1.262815566180665428e+03,-1.416641257553880223e+03,1.342661270028509080e+02
6.599999999999999645e+00,2.000000000000000111e-01,8.000000000000000444e-01,1.210725435347048906e+00,8.206342999458316626e+03,0.000000000000000000e+00,2.000000000000000000e+00,1.196058952393155096e+03,4.517313130683763120e+03,1.868030652387340069e+03,-2.023627254068852608e+03,-1.054071826753125123e+02
6.799999999999999822e+00,-5.999999999999999778e-01,1.000000000000000000e+00,2.871203975236233497e+00,4.942535999536515192e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.917589970088862401e+02,1.725823443625475875e+03,1.193675634819880770e+03,-1.308563494103559833e+03,-8.432583846597304955e+01
6.000000000000000000e+00,-8.000000000000000444e-01,2.000000000000000111e-01,5.549018326051458949e+00,8.591417001247402368e+03,2.000000000000000000e+00,1.000000000000000000e+00,-1.113874049488047376e+03,3.404331309323268215e+03,1.749025514710662264e+03,-1.794235064711275527e+03,-8.014167718645045113e+01
