# mood_lag1,circumplex.arousal_lag1,circumplex.valence_lag1,activity_lag1,screen_lag1,call_lag1,sms_lag1,pca_var_0_lag1,pca_var_1_lag1,pca_var_2_lag1,pca_var_3_lag1,pca_var_4_lag1
8.500000000000000000e+00,2.500000000000000000e-01,1.500000000000000000e+00,1.996557178267618582e+00,2.727840999364854270e+03,0.000000000000000000e+00,2.000000000000000000e+00,1.055382210360045747e+03,-1.379593490612667438e+03,-1.550909458016089275e+03,-3.289315828107828565e+02,1.963782684423569549e+02
7.250000000000000000e+00,-1.000000000000000000e+00,2.500000000000000000e-01,3.396444157600345459e+00,3.939332000255582443e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.182199099631130366e+03,-6.250690049626297196e+02,-7.433625361644668601e+02,-6.070277431771510237e+02,1.152882465262312962e+03
8.000000000000000000e+00,-1.250000000000000000e+00,7.500000000000000000e-01,3.630310128934234326e-01,3.967075998783112027e+03,1.000000000000000000e+00,0.000000000000000000e+00,1.271173285791863918e+03,-1.473124675041688988e+03,-1.372115475062419364e+03,-1.352318145794232009e+02,-3.926915813875294958e+01
8.199999999999999289e+00,8.000000000000000444e-01,8.000000000000000444e-01,3.597171599000084097e+00,6.806078000307084949e+03,0.000000000000000000e+00,2.000000000000000000e+00,1.073059330335300729e+03,2.106108615611461801e+02,-1.824680371824090798e+03,-6.974583742457688231e+02,6.243497161654233878e+02
7.750000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,1.719530175924630644e+00,9.531902999639507470e+03,0.000000000000000000e+00,6.000000000000000000e+00,7.024719482261346002e+02,8.902029208184067102e+02,-6.076157451089343340e+03,-4.718640316569623110e+02,-1.502185083039047413e+02
7.200000000000000178e+00,-5.999999999999999778e-01,2.000000000000000111e-01,3.517366946778710091e+00,1.119192600059509277e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.612331058022507477e+02,1.283260811750910761e+03,-6.220755030202771195e+03,-5.148056175466945206e+02,2.853829981122302115e+02
7.799999999999999822e+00,-8.000000000000000444e-01,1.000000000000000000e+00,3.301609523354869236e+00,1.487330400037765503e+04,0.000000000000000000e+00,4.000000000000000000e+00,-2.834459106923330864e+02,3.236137065911747413e+03,-5.254737637519696364e+03,-4.330422353824765196e+02,9.517276117523465473e+02
7.599999999999999645e+00,4.000000000000000222e-01,4.000000000000000222e-01,1.573286140089419360e+00,5.617376000642778308e+03,0.000000000000000000e+00,0.000000000000000000e+00,9.555700798199005703e+02,9.547697278832371239e+02,-2.070498316189945854e+03,-8.519560062871281616e+02,3.376430554583320145e+02
8.599999999999999645e+00,4.000000000000000222e-01,1.399999999999999911e+00,3.017588356492185930e+00,7.310520997524258746e+03,1.000000000000000000e+00,3.000000000000000000e+00,7.662823122148467974e+02,-5.953015152679112276e+01,-2.577407256607023101e+03,-5.055971570342092605e+02,4.103110078519388821e+02
7.200000000000000178e+00,2.000000000000000111e-01,5.999999999999999778e-01,4.554776339519666650e-01,6.887131999969486060e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.170237424347657452e+03,3.778167976088084856e+02,-2.214805585326146229e+03,-6.040011900634334552e+02,7.330547533022792095e+02
