# mood_lag1,circumplex.arousal_lag1,circumplex.valence_lag1,activity_lag1,screen_lag1,call_lag1,sms_lag1,pca_var_0_lag1,pca_var_1_lag1,pca_var_2_lag1,pca_var_3_lag1,pca_var_4_lag1
8.000000000000000000e+00,-1.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,2.715741999149323419e+03,4.000000000000000000e+00,0.000000000000000000e+00,1.138690831397576858e+03,-1.074380545371799144e+03,7.784328686309867180e+02,4.889641863661576338e+01,-8.005169590275897917e-01
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.628481220867697754e+00,6.280140998363498511e+03,5.000000000000000000e+00,2.000000000000000000e+00,7.931482898798390124e+02,-1.919056386567883692e+02,1.075165184209650306e+03,1.851171985824791136e+03,6.618433281659518741e+01
8.000000000000000000e+00,-2.500000000000000000e-01,5.000000000000000000e-01,2.724453000067585506e+00,4.925860998630523682e+03,2.000000000000000000e+00,1.000000000000000000e+00,9.784695294139867201e+02,1.125111497892439502e+03,1.430051506595227920e+03,3.892339954004222363e+03,1.159269396112682955e+02
8.000000000000000000e+00,-5.000000000000000000e-01,5.000000000000000000e-01,1.774798110076820201e+00,5.236956001520157770e+03,1.000000000000000000e+00,4.000000000000000000e+00,1.064812426038971807e+03,5.066093539263255821e+02,1.087426309584987166e+03,-4.546799266672999238e+02,-5.270968591370368728e+01
8.400000000000000355e+00,1.399999999999999911e+00,1.399999999999999911e+00,1.496568355575418785e+00,3.774865999937058405e+03,5.000000000000000000e+00,0.000000000000000000e+00,3.021786753586216605e+02,-1.124235102456068489e+03,6.405474889335392845e+02,2.839792954290662692e+02,-3.365054765995490982e+01
7.599999999999999645e+00,-1.399999999999999911e+00,0.000000000000000000e+00,1.552947236241555284e+00,4.897057998180390314e+03,1.000000000000000000e+00,4.000000000000000000e+00,7.756833719065743935e+02,7.619097822385093366e+01,8.960447306199330342e+02,3.064349340882225761e+02,-3.967918768027654863e+01
7.000000000000000000e+00,-5.000000000000000000e-01,-5.000000000000000000e-01,1.978358607645677170e+00,5.388959000110626221e+03,1.100000000000000000e+01,8.000000000000000000e+00,-3.767400048751698591e+02,-1.272900512215674098e+02,1.122941980489597427e+03,3.502970510279708947e+02,-1.842775472693927341e+01
7.799999999999999822e+00,4.000000000000000222e-01,2.000000000000000111e-01,1.719001136842314370e+00,4.178654001474380493e+03,1.000000000000000000e+00,0.000000000000000000e+00,7.024004058643259896e+02,7.401318383315175709e+01,1.052971518606908603e+03,4.663233735743926900e+02,-2.562301112679024939e+01
7.333333333333333037e+00,3.333333333333333148e-01,0.000000000000000000e+00,1.956743322037440169e+00,4.124162000179292590e+03,1.500000000000000000e+01,2.000000000000000000e+00,7.528677155084783124e+01,-2.144013712613794098e+02,1.115499365444591149e+03,1.715280944960330316e+03,1.247594001979692813e+01
8.250000000000000000e+00,2.500000000000000000e-01,7.500000000000000000e-01,2.049153420601769859e+00,4.656294999599455878e+03,2.000000000000000000e+00,0.000000000000000000e+00,1.186963990059440903e+03,5.759136134291979943e+02,8.215953779922380136e+02,-1.314508523813760235e+02,-6.280627095422337192e+01
7.666666666666666963e+00,3.333333333333333148e-01,3.333333333333333148e-01,3.207454676282278871e+00,4.124542999267578125e+03,6.000000000000000000e+00,1.000000000000000000e+00,-4.430637765821510499e+01,-7.659108978212359489e+02,9.352239205353746456e+02,-1.725432872776288775e+02,-3.174047540415814694e+01
8.599999999999999645e+00,2.000000000000000111e-01,8.000000000000000444e-01,2.221470579491207076e+00,2.406448000192642212e+03,5.000000000000000000e+00,2.000000000000000000e+00,1.017514023895010723e+03,-1.328532545987229469e+03,6.443521782759565895e+02,-1.939699271905842437e+01,-3.950703526124331688e+01
8.000000000000000000e+00,-1.800000000000000044e+00,5.999999999999999778e-01,2.756835031386470014e+00,3.048489998817443848e+03,6.000000000000000000e+00,0.000000000000000000e+00,1.177994795126709960e+03,-1.058611515070597534e+03,3.060808385776601881e+02,1.126496550930790619e+02,-6.186956329691506085e+01
7.500000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,2.226353444803713888e+00,6.525473998785020740e+03,3.000000000000000000e+00,0.000000000000000000e+00,-1.362813158806803528e+02,6.970384480531237159e+02,1.274330959653817445e+03,-4.615699025776865483e+02,-4.178104730340827189e+01
