# mood_lag1,circumplex.arousal_lag1,circumplex.valence_lag1,activity_lag1,screen_lag1,call_lag1,sms_lag1,pca_var_0_lag1,pca_var_1_lag1,pca_var_2_lag1,pca_var_3_lag1,pca_var_4_lag1
7.000000000000000000e+00,3.333333333333333148e-01,3.333333333333333148e-01,1.045302648123218825e+00,4.944646000862121582e+03,5.000000000000000000e+00,1.000000000000000000e+00,3.728475550464218600e+02,-7.045103619491320615e+02,-3.389493219818570651e+03,-3.201962400953672017e+01,-2.964214999402229864e+02
7.200000000000000178e+00,-5.999999999999999778e-01,1.399999999999999911e+00,1.659960366587434955e+00,1.885578100156784785e+04,2.000000000000000000e+00,0.000000000000000000e+00,-1.456219525144496629e+03,-3.456148846812459396e+02,-5.440624575254263618e+03,6.696206502086929504e+02,-4.078874821934244324e+02
7.400000000000000355e+00,-8.000000000000000444e-01,8.000000000000000444e-01,8.844458914956593309e-01,1.103003600025176456e+04,3.000000000000000000e+00,1.000000000000000000e+00,-5.660401195543182666e+02,5.139404598221675542e+02,-5.171846426567476556e+03,2.080455966152907479e+02,-4.186386660268555033e+02
7.666666666666666963e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.223335277636466323e+00,1.000262400031089783e+04,2.000000000000000000e+00,0.000000000000000000e+00,-1.751962677620937029e+03,1.933393969285602907e+03,-2.403551851699181043e+03,-6.485019978613288458e+02,-2.889188709420988630e+02
7.400000000000000355e+00,0.000000000000000000e+00,1.199999999999999956e+00,7.074375214994340633e-01,1.089648299932479495e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.229554566852459629e+02,7.958991358888904415e+02,-6.370224300219630095e+03,1.144374383898135193e+03,-4.772412168883281538e+02
7.200000000000000178e+00,0.000000000000000000e+00,5.999999999999999778e-01,6.313703403966108851e-01,1.013554299950598943e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.780024842942478358e+02,8.343990286410197541e+02,-8.070410492046680702e+03,7.057394842296804427e+02,-5.922931573767945110e+02
6.200000000000000178e+00,-5.999999999999999778e-01,-2.000000000000000111e-01,1.966423299365603450e+00,2.048375799894333613e+04,7.000000000000000000e+00,0.000000000000000000e+00,-2.888069461980334836e+03,3.972173509863727077e+02,-6.494246674160164730e+03,8.246842283186358600e+02,-4.783534956023821678e+02
5.200000000000000178e+00,-2.000000000000000111e-01,-5.999999999999999778e-01,1.851648047311057477e-01,6.824430000305173962e+03,1.000000000000000000e+00,0.000000000000000000e+00,2.240793997001834157e+02,-1.157548446321645315e+03,-4.043405372266142876e+03,1.067082313836293679e+03,-3.035212516748421763e+02
7.000000000000000000e+00,-2.500000000000000000e-01,1.000000000000000000e+00,2.416907165226308329e+00,8.703778999805450439e+03,5.000000000000000000e+00,3.000000000000000000e+00,-1.863917357203323718e+03,5.553510332492586485e+02,-2.416888958052194084e+03,2.419715758210217516e+01,-2.512368606154177542e+02
8.400000000000000355e+00,8.000000000000000444e-01,1.000000000000000000e+00,3.514809386318180628e+00,9.947085997581481934e+03,3.100000000000000000e+01,2.000000000000000000e+00,-2.824702338377866454e+03,-8.451591551628268917e+02,-1.724239999563969832e+03,2.657086209079590944e+01,-1.829713362239372998e+02
