# mood_lag1,circumplex.arousal_lag1,circumplex.valence_lag1,activity_lag1,screen_lag1,call_lag1,sms_lag1,pca_var_0_lag1,pca_var_1_lag1,pca_var_2_lag1,pca_var_3_lag1,pca_var_4_lag1
7.400000000000000355e+00,8.000000000000000444e-01,1.000000000000000000e+00,4.031386282906976426e+00,5.228513999462123138e+03,0.000000000000000000e+00,0.000000000000000000e+00,-1.802325873293035329e+04,3.964750927385851810e+03,1.542003553675087232e+03,-8.699564234086573151e+02,2.953752372575870311e+00
7.400000000000000355e+00,4.000000000000000222e-01,8.000000000000000444e-01,4.626470101295625525e+00,5.978720000743862329e+03,0.000000000000000000e+00,0.000000000000000000e+00,-7.833011690881245386e+02,7.312519445167306003e+03,1.451324876872830146e+03,-9.762738825125996982e+02,-1.500571449823632122e+02
7.400000000000000355e+00,8.000000000000000444e-01,8.000000000000000444e-01,1.682224845609690433e+00,5.473925999403002606e+03,0.000000000000000000e+00,1.000000000000000000e+00,-1.143212321620648254e+03,6.775834888265363816e+02,-2.079455016520161053e+02,1.225732100970913962e+03,-9.198560684143220101e+01
7.000000000000000000e+00,6.666666666666666297e-01,6.666666666666666297e-01,3.896400980734273656e+00,1.195434100008011228e+04,4.000000000000000000e+00,0.000000000000000000e+00,4.152013867429785137e+02,-2.731138476379850388e+01,-2.369420481492716988e+02,-3.061431297943798313e+01,-1.159077518269074432e+02
7.500000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,1.488544047603781229e+00,3.498116999626159668e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.157444026046616500e+03,-8.123368754329377452e+02,-5.374179110231928007e+02,1.286899911051240224e+03,1.785235291607517638e+02
7.200000000000000178e+00,2.000000000000000111e-01,8.000000000000000444e-01,1.644890329012961727e+00,7.079621001482015345e+03,2.000000000000000000e+00,0.000000000000000000e+00,6.442295439769183076e+02,-1.183601821394184270e+02,-3.856130308076994311e+02,2.424172899579652039e+03,-6.566285874790207799e+01
7.200000000000000178e+00,4.000000000000000222e-01,5.999999999999999778e-01,2.175196028897853573e+00,5.825132001399992987e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.734846260997610443e+02,2.659131233402038561e+03,1.750277955194123365e+02,6.510278191760351092e+02,-1.187309129642697627e+02
7.200000000000000178e+00,5.999999999999999778e-01,1.000000000000000000e+00,6.024883919669562715e+00,9.430216000795355285e+03,1.000000000000000000e+00,0.000000000000000000e+00,9.192790833245304611e+02,1.417912555925544666e+03,1.780619256650047078e+02,-3.277411743421432675e+02,-8.951685998309658032e+01
6.799999999999999822e+00,5.999999999999999778e-01,5.999999999999999778e-01,5.022917176431631603e+00,5.742628001689910889e+03,8.000000000000000000e+00,1.000000000000000000e+00,6.208633227348915398e+02,-4.809051643832879108e+02,-1.603478473839195203e+03,1.186878518160379599e+03,-1.636892537220660984e+02
8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.333333333333333315e-01,5.915339996814730057e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.304619758855897544e+03,-2.438799388426492897e+03,3.376117411674294431e+02,-2.434572917979274678e+02,-4.607023294343998288e+01
