# mood_lag1,circumplex.arousal_lag1,circumplex.valence_lag1,activity_lag1,screen_lag1,call_lag1,sms_lag1,pca_var_0_lag1,pca_var_1_lag1,pca_var_2_lag1,pca_var_3_lag1,pca_var_4_lag1
9.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.664954000949859619e+03,5.000000000000000000e+00,2.000000000000000000e+00,1.222898179979851875e+03,-8.916314478416688871e+02,8.410212328206343955e+02,3.306155819004711702e+02,-1.201392894259872257e+01
7.799999999999999822e+00,8.000000000000000444e-01,1.000000000000000000e+00,2.488048012386119279e+00,2.643537000417710260e+03,8.000000000000000000e+00,1.000000000000000000e+00,8.554214994014322428e+02,-1.434479686565846123e+03,8.346177576033110199e+02,3.503343950647965357e+03,5.495350756716475615e+01
8.199999999999999289e+00,-2.000000000000000111e-01,1.199999999999999956e+00,2.405920761461080915e+00,5.048337000608445123e+03,1.000000000000000000e+00,1.000000000000000000e+00,8.828593807289571487e+02,-9.345875490238084922e+02,8.638717153567719151e+02,1.143126238359441913e+03,1.581092710386490694e+02
7.799999999999999822e+00,-5.999999999999999778e-01,1.399999999999999911e+00,2.177765338117608529e+00,6.248045999526978449e+03,3.000000000000000000e+00,0.000000000000000000e+00,1.228478437485146742e+03,3.276398766043146225e+02,1.205873641895046376e+03,3.068314676188136218e+03,1.713661309639031174e+02
7.799999999999999822e+00,-4.000000000000000222e-01,1.199999999999999956e+00,3.186438852563807878e+00,3.791112000226974942e+03,6.000000000000000000e+00,1.000000000000000000e+00,3.429103728517225136e+02,-1.231299379502795318e+03,8.235274494587706613e+02,7.980932131638257943e+02,1.318176796265959183e+02
8.250000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.187676827367297960e+00,3.985976998805999301e+03,1.000000000000000000e+00,0.000000000000000000e+00,1.244429838710439981e+03,-9.905355088662093976e+02,8.588000614450330659e+02,1.794699029227193250e+03,2.987289696477329670e+01
7.750000000000000000e+00,2.500000000000000000e-01,5.000000000000000000e-01,2.476698088769539563e+00,3.275632001638411111e+03,3.000000000000000000e+00,1.000000000000000000e+00,7.949822236990994497e+02,-1.508897560399360373e+03,7.494847710232780855e+02,1.192519255994636296e+03,1.173429778413170332e+01
8.000000000000000000e+00,-5.000000000000000000e-01,1.500000000000000000e+00,2.512302911497596547e+00,3.250441998243331909e+03,3.000000000000000000e+00,0.000000000000000000e+00,1.067974763634077817e+03,-1.095746408229711506e+03,8.790179646855575584e+02,2.844184974094631798e+03,8.473470429088256139e+01
8.599999999999999645e+00,-2.000000000000000111e-01,1.600000000000000089e+00,3.921056106207615244e+00,2.261391000509262994e+03,0.000000000000000000e+00,1.000000000000000000e+00,1.351090376828769422e+03,-2.027042183939058759e+03,6.258487540649134644e+02,2.242943278255320820e+03,2.242212201475799205e+01
8.400000000000000355e+00,-2.000000000000000111e-01,1.000000000000000000e+00,3.786966451133613187e+00,3.568718999385834195e+03,1.000000000000000000e+00,0.000000000000000000e+00,1.357932534711823564e+03,-1.123095553195033290e+03,8.119795845948235637e+02,1.509569179814897552e+03,2.927361564734009391e+01
7.400000000000000355e+00,4.000000000000000222e-01,5.999999999999999778e-01,2.007206030292208343e+00,9.398243999958036511e+03,3.000000000000000000e+00,1.000000000000000000e+00,-6.936407264094376615e+02,1.751283839050733604e+03,1.583983880874248598e+03,3.610860472671254229e+02,-1.965677375859905496e+01
7.599999999999999645e+00,4.000000000000000222e-01,4.000000000000000222e-01,2.337944163511463724e+00,3.205793999433517001e+03,2.000000000000000000e+00,0.000000000000000000e+00,8.426844692480194681e+02,-1.715676644115164208e+03,6.967201829809432638e+02,1.221682796545923566e+03,6.308276836155805256e+01
7.400000000000000355e+00,2.000000000000000111e-01,5.999999999999999778e-01,1.888515318885996219e+00,3.364240000724793845e+03,2.000000000000000000e+00,0.000000000000000000e+00,5.235578931076555591e+02,-1.544812599751390735e+03,7.690989184742826410e+02,1.532520461419346702e+03,2.748005074917166368e+01
7.799999999999999822e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.007274905599609749e+00,2.312745999813079834e+03,1.000000000000000000e+00,0.000000000000000000e+00,-1.816456342987692187e+04,-2.194978850513837642e+03,1.858266424318505415e+03,1.276457265202902136e+03,1.249759449548199797e+02
7.799999999999999822e+00,2.000000000000000111e-01,1.399999999999999911e+00,2.090557449990230410e+00,3.231443998813627786e+03,0.000000000000000000e+00,3.000000000000000000e+00,7.753065905712202266e+02,-1.662990780119924693e+03,7.139449606018016539e+02,9.641198027339075907e+02,8.076430256185149759e+00
7.599999999999999645e+00,1.199999999999999956e+00,1.000000000000000000e+00,2.746270503111270855e+00,3.852661998987193783e+03,6.000000000000000000e+00,0.000000000000000000e+00,1.103749888295898927e+03,-1.182184011920294324e+03,8.173247475021240689e+02,1.776056354155345844e+03,1.163738248448433268e+02
