# mood_lag1,circumplex.arousal_lag1,circumplex.valence_lag1,activity_lag1,screen_lag1,call_lag1,sms_lag1,pca_var_0_lag1,pca_var_1_lag1,pca_var_2_lag1,pca_var_3_lag1,pca_var_4_lag1
7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.007833998918532870e+03,3.000000000000000000e+00,1.000000000000000000e+00,1.354622219497079868e+03,-1.260832398093289157e+03,7.637038613185409304e+02,9.368702411493449063e+02,-8.385458276535189270e+00
7.000000000000000000e+00,0.000000000000000000e+00,6.666666666666666297e-01,1.508333333333332860e+00,4.706241000652313232e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.142430276261277413e+03,8.701330791568834684e+02,1.230666343036570424e+03,3.643307175048648787e+03,5.747905711139581797e+01
6.750000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,7.999999999999996003e-01,7.160279999732973010e+03,0.000000000000000000e+00,1.000000000000000000e+00,3.039654825868777834e+02,8.469723873184040713e+03,4.121291809781543634e+03,3.386501472205722530e+04,7.885513786841000865e+02
7.250000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,1.900000000000000133e+00,5.929984000682830811e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.253201597560920618e+03,6.807776506367872571e+02,2.659799683870811009e+02,1.304757551182572115e+02,-8.964839443513851336e+01
6.200000000000000178e+00,4.000000000000000222e-01,-2.000000000000000111e-01,6.166666666666666963e-01,7.212193001270292370e+03,1.000000000000000000e+00,0.000000000000000000e+00,9.808214582517924782e+02,4.645802385910540693e+02,1.130997432165045893e+03,3.100421003694224964e+03,4.244412311534801319e+01
7.750000000000000000e+00,5.000000000000000000e-01,7.500000000000000000e-01,2.071573828470379297e+00,8.552027000188831153e+03,3.000000000000000000e+00,2.000000000000000000e+00,7.070211598028713524e+02,-6.436461390937009810e+02,6.596646588478128024e+02,2.131473938763047045e+03,7.298352949065710638e-01
7.799999999999999822e+00,-4.000000000000000222e-01,8.000000000000000444e-01,6.500000000000003553e-01,4.169421998977660223e+03,1.000000000000000000e+00,0.000000000000000000e+00,1.123304507163358494e+03,-1.336358952164646098e+03,2.797576581311785162e+02,2.014021827503854638e+03,-1.509665960973364385e+01
8.250000000000000000e+00,-2.500000000000000000e-01,1.000000000000000000e+00,1.914682539682539097e+00,1.046748400187492916e+04,4.000000000000000000e+00,0.000000000000000000e+00,7.469876769432989931e+02,1.099838789806002751e+03,1.156784822156392693e+03,4.655406548286362522e+03,6.493754633398617671e+01
8.000000000000000000e+00,-4.000000000000000222e-01,1.000000000000000000e+00,1.975000000000000089e+00,7.516976999044418335e+03,5.000000000000000000e+00,0.000000000000000000e+00,8.568025454926416842e+02,1.291801699010860148e+03,1.230471618934883736e+03,2.050426488133687599e+03,5.880565027614210738e-01
7.750000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.575000000000000622e+00,8.669290998935699463e+03,2.000000000000000000e+00,1.000000000000000000e+00,-8.980987092415706741e+01,1.348340420091831675e+03,9.972580657157450332e+02,2.045227564374165013e+03,-1.247045780276099869e+01
7.000000000000000000e+00,-2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000444e+00,6.808904999494550793e+03,3.000000000000000000e+00,0.000000000000000000e+00,7.242922236539471896e+02,8.921950511468413652e+02,1.290860786514739175e+03,1.017546749001144235e+03,-9.506877696650580134e+00
